input_file;input;input_unit;input_value;input_source

### # -----------------------------
### # Additional_costs.Rmd
### # MU: monetary unit
### # cost of minerals
INPUT03.TXT;"Amount of minerals per cow (including calf) and day";"kg/day";0.2;"agridea"
INPUT03.TXT;"Price per kg minerals for cows";"MU/kg";1.6;"agridea"
INPUT03.TXT;"Price per kg minerals for replacement heifers";"MU/kg";1.6;"agridea"
INPUT04.TXT;"Amount of minerals per day and breeding bull";"kg/day";0.15;"agridea"
INPUT04.TXT;"Price per kg minerals for breeding bulls";"MU/kg";1.6;"agridea"
INPUT13.TXT;"Amount of minerals per day and breeding heifer";"kg";0.2;"agridea"
### # straw costs (feeding season with code 1 = winter; feeding season with code 2 = summer)
INPUT03.TXT;"Price per kg straw";"MU/kg";0.12;"Schweizer Bauernverband"
INPUT03.TXT;"Amount of straw per cow (including calf) and day during feeding season with code 1";"kg/day";3.5;"Schweizer Bauernverband"
INPUT03.TXT;"Amount of straw per cow (including calf) and day during feeding season with code 2";"kg/day";0;"Schweizer Bauernverband"
INPUT04.TXT;"Amount of straw per day per breeding bull in the herd during feeding season with code 1";"kg/day";3.5;"Schweizer Bauernverband"
INPUT04.TXT;"Amount of straw per day per breeding bull in the herd during feeding season with code 2";"kg/day";0;"Schweizer Bauernverband"
INPUT08.TXT;"Amount of straw per animal and day in intensive fattening";"kg/day";3.5;"Schweizer Bauernverband"
INPUT13.TXT;"Amount of straw per breeding heifer per day during feeding season with code 1";"kg/day";3.5;"Schweizer Bauernverband"
INPUT13.TXT;"Amount of straw per breeding heifer per day during feeding season with code 2";"kg/day";0;"Schweizer Bauernverband"
### # water costs
### # Cost of water is assumed zero. Therefore, the amount of water required does not really matter. However in the future if we choose to change this so that water does have a cost, we will need to change the parameters for amount of water.
INPUT03.TXT;"Price per l water";"MU/l";0;
INPUT03.TXT;"Amount of water per cow (including calf) and day";"l/day";60;
INPUT04.TXT;"Amount of water per day and breeding bull";"l/day";40;
INPUT08.TXT;"Amount of water per day and animal in intensive fattening";"l/day";40;
INPUT10.TXT;"Amount of water per day and castrate in intensive fattening";l/day";40;
INPUT10.TXT;"Amount of water per day and heifer in intensive fattening";"l/day";40;
INPUT13.TXT;"Amount of water per day and breeding heifer";"l/day";35;
### # dung
### # We have selected that dung is not used for revenue so keep the price as 0. As the price is 0, the amount parameters do not matter.
INPUT03.TXT;"Price per kg dung";"MU/kg";0;
INPUT03.TXT;"Amount of dung per cow (including calf) and day during feeding season with code 1";"kg/day";0;
INPUT03.TXT;"Amount of dung per cow (including calf) and day during feeding season with code 2";"kg/day";0;
INPUT04.TXT;"Amount of dung per day per breeding bull in the herd during feeding season with code 1";"kg/day";0;
INPUT04.TXT;"Amount of dung per day per breeding bull in the herd during feeding season with code 2";"kg/day";0;
INPUT08.TXT;"Amount of dung per animal and day in intensive fattening";"kg/day";0;
INPUT13.TXT;"Amount of dung per breeding heifer per day during feeding season with code 1";"kg/day";0;
INPUT13.TXT;"Amount of dung per breeding heifer per day during feeding season with code 2";"kg/day";0;
### # veterinary treatment
INPUT03.TXT;"Cost for veterinary treatment per cow and reproductive cycle (including calf to weaning)";"MU/reproductive cycle";127;
