input_file;input;input_unit;input_value
INPUT05.TXT;"Daily gain of bulls in test";"kg/day";1.452
INPUT05.TXT;"Price per kg fresh matter of feed ration for bulls before test";"MU/kg";0.09
INPUT05.TXT;"Price per kg fresh matter of feed ration for bulls in test";"MU/kg";0.09
INPUT05.TXT;"Price per kg fresh matter of feed ration for bulls after test";"MU/kg";0.09
INPUT05.TXT;"Protein content per kg dry matter of feed ration for bulls before test";"g PDI/kg";78.3
INPUT05.TXT;"Protein content per kg dry matter of feed ration for bulls in test";"g PDI/kg";78.3
INPUT05.TXT;"Protein content per kg dry matter of winter feed ration for bulls after test";"g PDI/kg";78.3
INPUT05.TXT;"Net energy content per kg dry matter of feed ration for bulls before test";"MJ NE/kg dry matter";5.5
INPUT05.TXT;"Net energy content per kg dry matter of feed ration for bulls in test";"MJ NE/kg dry matter";5.5
INPUT05.TXT;"Net energy content per kg dry matter of feed ration for bulls after test";"MJ NE/kg dry matter";5.5
INPUT05.TXT;"Dry matter per kg feed ration for bulls before test";"kg/kg";0.57
INPUT05.TXT;"Dry matter per kg feed ration for bulls in test";"kg/kg";0.57
INPUT05.TXT;"Dry matter per kg feed ration for bulls after test";"kg/kg";0.57
INPUT05.TXT;"Amount of dung per bull at station per day";"kg/day";0
INPUT05.TXT;"Amount of straw per bull at station per day";"kg/day";3.5
INPUT05.TXT;"Amount of water per bull per day";"l/day";40
INPUT05.TXT;"Cost for veterinary treatment per bull at test station till selling";"MU/animal";73.2
INPUT05.TXT;"Fixed costs per bull on the test station per day";"MU/day";13.36
INPUT05.TXT;"Average price for selected bulls at selling";"MU/bull";5000
