input_file;input;input_unit;input_value
INPUT11.TXT;"Amount of water per cow and day";"l/day";60
INPUT11.TXT;"Price per l water";"MU/l";0
INPUT11.TXT;"Price per kg straw";"MU/kg";0.16
INPUT21.TXT;"Amount of straw per reared calf and day";"kg/day";3.5 3.5
INPUT21.TXT;"Amount of straw per reared heifer and day";"kg/day";3.5 3.5
INPUT21.TXT;"Amount of straw per bull and day in fattening";"kg/day";3.5 3.5
INPUT21.TXT;"Amount of straw per heifer and day in fattening";"kg/day";3.5 3.5
INPUT11.TXT;"Amount of straw per cow and day";"kg/day";3.5
INPUT11.TXT;"Price per kg dung";"MU/kg";0
INPUT11.TXT;"Price per portion of semen from AI dairy bulls including external labour";"MU/portion";100
INPUT11.TXT;"Cost per re-insemination from dairy bulls including external labour";"MU/re-insemination";100
INPUT11.TXT;"Price per portion of semen from AI beef bulls including external labour";"MU/portion";61
INPUT11.TXT;"Cost per re-insemination from beef bulls including external labour";"MU/re-insemination";61
INPUT11.TXT;"Cost for removing and rendering a dead cow";"MU/animal";200
INPUT21.TXT;"Average costs for removing and rendering of a dead young animal (replacement heifer or animal in fattening)";"MU/animal";0
INPUT21.TXT;"Average costs for removing and rendering of a dead calf";"MU/animal";0
INPUT11.TXT;"Cost for veterinary treatment per cow and reproductive cycle";"MU/reproductive cycle";355.7
INPUT21.TXT;"Cost for veterinary treatment per reared calf for the whole rearing period";"MU/animal";48.8 48.8
INPUT21.TXT;"Cost for veterinary treatment per reared heifer from the end of rearing period of calves to calving";"MU/animal";138.9 138.9
INPUT21.TXT;"Cost for veterinary treatment per bull in the whole fattening period";"MU/animal";138.9 138.9
INPUT11.TXT;"Veterinary cost connected with calving score 1";"MU/calving";0
INPUT11.TXT;"Veterinary cost connected with calving score 2";"MU/calving";0
INPUT11.TXT;"Veterinary cost connected with calving score 3";"MU/calving";300
INPUT11.TXT;"Veterinary cost connected with calving score 4";"MU/calving";1000
INPUT21.TXT;"Cost for veterinary treatment per heifer in the whole fattening period";"MU/animal";138.9 138.9
INPUT11.TXT;"Stock-man hours connected with calving score 1";"h";0
INPUT11.TXT;"Stock-man hours connected with calving score 2";"h";0
INPUT11.TXT;"Stock-man hours connected with calving score 3";"h";3
INPUT11.TXT;"Stock-man hours connected with calving score 4";"h";5
INPUT11.TXT;"Cost per stock-man hour (needed for dystocia cost)";"MU/h";11.5
INPUT11.TXT;"Fixed cost per cow and day";"MU/day";8.39
INPUT21.TXT;"Fixed cost per reared calf and day";"MU/day";1.15 1.15
